City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
258,Imbituba,BR,2022-28-09/19/22 15:28:33,-28.24,-48.6703,69.85,55,100,14.05
259,Flinders,AU,2022-28-09/19/22 15:28:39,-34.5833,150.8552,53.06,70,0,3.0
260,Terme,TR,2022-28-09/19/22 15:28:40,41.2092,36.9739,64.33,79,100,2.28
261,Manggar,ID,2022-28-09/19/22 15:28:41,-2.8833,108.2667,77.56,83,100,4.7
262,Meulaboh,ID,2022-28-09/19/22 15:28:42,4.1363,96.1285,77.47,85,92,2.26
263,Hambantota,LK,2022-28-09/19/22 15:28:42,6.1241,81.1185,82.74,78,20,10.36
264,Braganca,BR,2022-27-09/19/22 15:27:26,-1.0536,-46.7656,89.78,53,99,7.85
265,Canton,CN,2022-24-09/19/22 15:24:11,23.1167,113.25,90.88,56,43,2.17
266,Ajdabiya,LY,2022-23-09/19/22 15:23:53,30.7554,20.2263,85.73,46,0,12.28
267,Broome,US,2022-28-09/19/22 15:28:43,42.2506,-75.833,76.01,77,100,8.99
